otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Lachnospiraceae (OTU 33)	35.30548817465126	2.1553145087161117e-8	2	Kruskal-Wallis rank sum test	0	0.011	0	5.31026678670342e-6
Ruminococcaceae (OTU 37)	34.109680243950514	3.919016078747911e-8	2	Kruskal-Wallis rank sum test	0	0.008	0	5.31026678670342e-6
Ruminococcaceae (OTU 98)	32.23316823003419	1.0015126788874721e-7	2	Kruskal-Wallis rank sum test	0	0.002	0	9.046997865950164e-6
Ruminococcaceae (OTU 65)	28.595628458353843	6.173595589706083e-7	2	Kruskal-Wallis rank sum test	0	0.003	0	4.182611012025871e-5
Clostridium (OTU 51)	28.11842999001008	7.83719238411687e-7	2	Kruskal-Wallis rank sum test	0	0.003	0	4.247758272191344e-5
Bacteroides (OTU 1)	26.78120063648438	1.5294531293639108e-6	2	Kruskal-Wallis rank sum test	0.56	0.002	0.438	6.908029967626997e-5
Bifidobacterium (OTU 28)	24.723389019795977	4.279413844803914e-6	2	Kruskal-Wallis rank sum test	0	0.006	0	1.4496514399273258e-4
Oscillibacter (OTU 45)	24.738928559992313	4.2462926218440824e-6	2	Kruskal-Wallis rank sum test	0	0.003	0	1.4496514399273258e-4
Lachnospiraceae (OTU 30)	24.31830472820765	5.240192288092126e-6	2	Kruskal-Wallis rank sum test	0	0.001	0.007	1.5778801223032958e-4
Lachnospiraceae (OTU 29)	23.543770825500097	7.718539368884423e-6	2	Kruskal-Wallis rank sum test	0	0.009	0	1.609018591513599e-4
Lachnospiraceae (OTU 31)	23.59794580727268	7.512269778958035e-6	2	Kruskal-Wallis rank sum test	0	0.005	0	1.609018591513599e-4
Ruminococcaceae (OTU 54)	23.548961251167096	7.698534086669172e-6	2	Kruskal-Wallis rank sum test	0	0.003	0	1.609018591513599e-4
Ruminococcaceae (OTU 92)	23.554153965886208	7.678571866777618e-6	2	Kruskal-Wallis rank sum test	0	0.003	0	1.609018591513599e-4
Lachnospiraceae (OTU 32)	22.360149277765007	1.394939194411325e-5	2	Kruskal-Wallis rank sum test	0	0	0.002	0.00027002037263247793
Clostridium (OTU 22)	21.86454949207232	1.7872010179916776e-5	2	Kruskal-Wallis rank sum test	0	0.008	0	3.2288765058382976e-4
Butyricicoccus (OTU 56)	21.627908763827094	2.0116817887744756e-5	2	Kruskal-Wallis rank sum test	0	0.002	0.002	3.407286029736768e-4
Enterobacteriaceae (OTU 2)	21.49399592180806	2.1509885003128212e-5	2	Kruskal-Wallis rank sum test	0.1325	0.027	0.001	3.428928726969262e-4
Lachnospiraceae (OTU 95)	20.921770770163747	2.863486905349188e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	4.084236586050684e-4
