otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Lachnospiraceae (OTU 34)	34.61969128804395	3.036893445282711e-8	2	Kruskal-Wallis rank sum test	0	0.03	0	5.921942218301286e-6
Bacteria (OTU 43)	35.1607640019751	2.317059078494444e-8	2	Kruskal-Wallis rank sum test	0	0.017	0	5.921942218301286e-6
Clostridiales (OTU 35)	32.94969001216219	6.999479141090792e-8	2	Kruskal-Wallis rank sum test	0	0.032	0	8.777677769038148e-6
Lachnospiraceae (OTU 73)	32.44630210860579	9.002746429782717e-8	2	Kruskal-Wallis rank sum test	0	0.003	0	8.777677769038148e-6
Lachnospiraceae (OTU 71)	30.132445950973516	2.863007585115085e-7	2	Kruskal-Wallis rank sum test	0	0.006	0	2.2331459163897662e-5
Lachnospiraceae (OTU 29)	26.729969788002474	1.5691368074068966e-6	2	Kruskal-Wallis rank sum test	0	0.007	0	6.197493514974703e-5
Acetatifactor (OTU 78)	27.39926082939293	1.1228612815837102e-6	2	Kruskal-Wallis rank sum test	0	0.01	0.022	6.197493514974703e-5
Ruminococcaceae (OTU 92)	26.75366129945789	1.550658854810725e-6	2	Kruskal-Wallis rank sum test	0	0.002	0	6.197493514974703e-5
Lachnospiraceae (OTU 112)	26.704684345133938	1.589100901275565e-6	2	Kruskal-Wallis rank sum test	0	0.005	0	6.197493514974703e-5
Lachnospiraceae (OTU 131)	26.716911764705888	1.5794152373823625e-6	2	Kruskal-Wallis rank sum test	0	0.002	0	6.197493514974703e-5
Lachnospiraceae (OTU 85)	24.021315447304687	6.079076751174665e-6	2	Kruskal-Wallis rank sum test	0	0.006	0	2.1553090299619265e-4
Ruminococcaceae (OTU 101)	23.150087120606877	9.39771897562179e-6	2	Kruskal-Wallis rank sum test	0	0.004	0	3.054258667077082e-4
Oscillibacter (OTU 57)	22.484210954366663	1.3110390461014453e-5	2	Kruskal-Wallis rank sum test	0	0.003	0	3.933117138304336e-4
Ruminococcaceae (OTU 27)	21.711919193778765	1.9289308160300203e-5	2	Kruskal-Wallis rank sum test	0.014	0.035	0	5.015220121678053e-4
Lachnospiraceae (OTU 41)	21.81855269340853	1.82878007388333e-5	2	Kruskal-Wallis rank sum test	0	0.022	0.002	5.015220121678053e-4
Lachnospiraceae (OTU 20)	20.30696283652131	3.8940278023229964e-5	2	Kruskal-Wallis rank sum test	0.065	0.015	0.027	9.491692768162303e-4
Ruminococcaceae (OTU 59)	19.684359975476735	5.316129373774902e-5	2	Kruskal-Wallis rank sum test	0.017	0.003	0	0.0012195826210424775
Ruminococcaceae (OTU 50)	18.892890246163184	7.896979478670766e-5	2	Kruskal-Wallis rank sum test	0.001	0.005	0	0.0015154384709014685
Ruminococcaceae (OTU 54)	18.863986723215987	8.011933384972942e-5	2	Kruskal-Wallis rank sum test	0	0.002	0	0.0015154384709014685
Lachnospiraceae (OTU 83)	18.7343094958461	8.548627271751873e-5	2	Kruskal-Wallis rank sum test	0	0.001	0.011	0.0015154384709014685
Anaeroplasma (OTU 89)	19.117647058823547	7.057578016950594e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0015154384709014685
Ruminococcaceae (OTU 98)	18.738951798777446	8.528807624131221e-5	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0015154384709014685
Clostridium (OTU 51)	18.334631670576393	1.0439635099432693e-4	2	Kruskal-Wallis rank sum test	0	0.003	0.001	0.0017701989951211957
Ruminococcaceae (OTU 65)	17.34893973108158	1.7089352340612623e-4	2	Kruskal-Wallis rank sum test	0	0.003	0	0.002719613992848926
Lachnospiraceae (OTU 152)	17.3090724747886	1.743342303108286e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.002719613992848926
Acetatifactor (OTU 138)	17.038610718647952	1.9957801222984792e-4	2	Kruskal-Wallis rank sum test	0	0.001	0.001	0.0029936701834477187
Ruminococcaceae (OTU 118)	16.74887927921579	2.3068910041534557e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0032131696129280274
Clostridiales (OTU 154)	16.74887927921579	2.3068910041534557e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0032131696129280274
Lachnospiraceae (OTU 63)	16.568926066886142	2.5240817634121705e-4	2	Kruskal-Wallis rank sum test	0	0.002	0.001	0.0033944547852784363
Lachnospiraceae (OTU 70)	16.37781790988275	2.777167204621609e-4	2	Kruskal-Wallis rank sum test	0.003	0	0.006	0.003573842162167279
Lachnospiraceae (OTU 77)	16.3325471213092	2.8407463340304013e-4	2	Kruskal-Wallis rank sum test	0	0.007	0	0.003573842162167279
Lachnospiraceae (OTU 133)	15.998197888446922	3.357650346634153e-4	2	Kruskal-Wallis rank sum test	0	0.002	0	0.004092136359960374
Lachnospiraceae (OTU 47)	15.862972417542922	3.592520923620423e-4	2	Kruskal-Wallis rank sum test	0.008	0.007	0	0.004245706546096863
Bacteroides (OTU 1)	15.31641577570393	4.7215280382541046e-4	2	Kruskal-Wallis rank sum test	0.182	0.074	0.247	0.005415870396820885
Lachnospiraceae (OTU 81)	14.647039771991171	6.598355728712567e-4	2	Kruskal-Wallis rank sum test	0	0.002	0	0.007069533982660611
Lachnospiraceae (OTU 84)	14.627116154556848	6.664415778818609e-4	2	Kruskal-Wallis rank sum test	0.002	0.006	0	0.007069533982660611
Lachnospiraceae (OTU 111)	14.614379084967286	6.706993778421605e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.007069533982660611
Firmicutes (OTU 96)	14.494549804178769	7.121123229165208e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.007121123229165208
Bacteria (OTU 108)	14.504063785015122	7.08732855838811e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.007121123229165208
Porphyromonadaceae (OTU 8)	14.339260661471014	7.696071787678284e-4	2	Kruskal-Wallis rank sum test	0	0.045	0	0.007503669992986327
Lachnospiraceae (OTU 30)	14.236310622475461	8.102600509744741e-4	2	Kruskal-Wallis rank sum test	0.019	0.004	0.017	0.007707351704391339
Acetatifactor (OTU 165)	13.89144562519174	9.627441972087902e-4	2	Kruskal-Wallis rank sum test	0.001	0	0	0.008939767545510196
Lachnospiraceae (OTU 31)	12.897319570150284	0.0015826418282181899	2	Kruskal-Wallis rank sum test	0.001	0.006	0.002	0.014354193325699862
Lachnospiraceae (OTU 110)	12.54384199452064	0.0018885971064309135	2	Kruskal-Wallis rank sum test	0.003	0.002	0	0.01673983798881946
Lachnospiraceae (OTU 95)	12.454917553502531	0.0019744630781554197	2	Kruskal-Wallis rank sum test	0	0.001	0	0.017112013344013636
Firmicutes (OTU 188)	12.410027939288714	0.00201928059994133	2	Kruskal-Wallis rank sum test	0	0	0	0.017119987695154753
Porphyromonadaceae (OTU 14)	12.039321225146411	0.0024304943342815634	2	Kruskal-Wallis rank sum test	0.115	0	0	0.02016793170999595
Lachnospiraceae (OTU 94)	11.639828711509201	0.0029678593139681217	2	Kruskal-Wallis rank sum test	0.002	0.001	0	0.024113856925990988
Butyricicoccus (OTU 56)	11.235892703166739	0.003632092496085884	2	Kruskal-Wallis rank sum test	0.005	0.001	0.001	0.028908491295377446
Clostridiales (OTU 97)	10.934174932371501	0.0042235153930424915	2	Kruskal-Wallis rank sum test	0	0.001	0	0.032943420065731435
Clostridiales (OTU 91)	10.384322287867128	0.005559977908974501	2	Kruskal-Wallis rank sum test	0.002	0	0.001	0.04159060711069082
Ruminococcaceae (OTU 143)	10.364418938307018	0.005615585234995158	2	Kruskal-Wallis rank sum test	0	0	0	0.04159060711069082
