genus	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Bacteroidales Unclassified	13.782051282051285	0.0010168703620084465	2	Kruskal-Wallis rank sum test	0	0.01	0.025500000000000002	0.024484259368934433
Porphyromonadaceae Unclassified	13.555555555555557	0.0011388027613457876	2	Kruskal-Wallis rank sum test	0.16249999999999998	0.518	0.6679999999999999	0.024484259368934433
Oscillibacter	11.306881051175665	0.003505435463390549	2	Kruskal-Wallis rank sum test	0.0165	0.009499999999999998	0.002	0.0376834312314484
Ruminococcaceae Unclassified	11.853561549100963	0.002667054031918474	2	Kruskal-Wallis rank sum test	0.0405	0.011	0.0085	0.0376834312314484
Akkermansia	10.80538302277432	0.004504440858490723	2	Kruskal-Wallis rank sum test	0.20600000000000002	0.004	0.02	0.03873819138302022
Lachnospiraceae Unclassified	7.941520467836256	0.01885909036375207	2	Kruskal-Wallis rank sum test	0.2405	0.211	0.07400000000000001	0.1351568142735565
Firmicutes Unclassified	7.331651954602774	0.025583031551083008	2	Kruskal-Wallis rank sum test	0.001	5e-4	0	0.1571529080995099
Unclassified	6.4193194291986835	0.040370348375142626	2	Kruskal-Wallis rank sum test	0.006500000000000001	0.005	0	0.21699062251639162
Bifidobacterium	5.82164090368609	0.05443105348613401	2	Kruskal-Wallis rank sum test	0	0.0025	0	0.2600594777670847
Lactobacillus	4.61848013816926	0.09933671192210382	2	Kruskal-Wallis rank sum test	0.044	0.0245	0.034	0.4271478612650464
Acetatifactor	3.358464223385691	0.18651714539837186	2	Kruskal-Wallis rank sum test	0.0055	0.007	0.0015	0.5102843861410301
Acidaminococcus	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5102843861410301
Anaeroplasma	2.3819444444444446	0.3039256371241333	2	Kruskal-Wallis rank sum test	0	0	0	0.5102843861410301
Blautia	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5102843861410301
Butyricicoccus	2.307560137457047	0.31544211997976107	2	Kruskal-Wallis rank sum test	0.0015	0.001	0	0.5102843861410301
Catonella	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5102843861410301
Clostridium XlVb	3.9679134580124673	0.13752401411629164	2	Kruskal-Wallis rank sum test	0.001	0.003	5e-4	0.5102843861410301
