genus	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Ruminococcaceae Unclassified	22.399746176947335	5.3857873034485345e-5	3	Kruskal-Wallis rank sum test	0.013000000000000001	0	0.012	0.006	0.001885025556206987
Enterobacteriaceae Unclassified	20.682762311301378	1.2251550214527313e-4	3	Kruskal-Wallis rank sum test	0.044	0.2635	0.112	0.0465	0.0021440212875422798
Butyricicoccus	15.923494938732043	0.0011756821802065846	3	Kruskal-Wallis rank sum test	0.0015	0	0	0.001	0.008304758320131339
Lachnospiraceae Unclassified	16.509190077704716	8.915124725513166e-4	3	Kruskal-Wallis rank sum test	0.153	0.014499999999999999	0.237	0.0625	0.008304758320131339
Lactobacillus	15.904276334902123	0.0011863940457330483	3	Kruskal-Wallis rank sum test	0.063	0.0295	0.096	0.0275	0.008304758320131339
Turicibacter	15.491715442182821	0.0014412015910805675	3	Kruskal-Wallis rank sum test	0.0055	0.035500000000000004	0.001	0.0195	0.00840700928130331
Peptostreptococcaceae Unclassified	13.487926734742036	0.0036919109680591	3	Kruskal-Wallis rank sum test	0.0025	0.028499999999999998	0.001	0.001	0.0184595548402955
Porphyromonadaceae Unclassified	12.70378216989818	0.005323017341900913	3	Kruskal-Wallis rank sum test	0.0825	0	0.047	0	0.023288200870816494
Clostridium XlVb	11.997873778332263	0.007390447592569044	3	Kruskal-Wallis rank sum test	0.0015	0	0.003	0	0.025866566573991653
Oscillibacter	12.152303272801868	0.0068792337628570234	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.025866566573991653
Akkermansia	11.15974698484737	0.010892693654235524	3	Kruskal-Wallis rank sum test	0.171	0.05650000000000001	0.429	0.325	0.03465857071802212
Clostridiales Unclassified	10.409444444444471	0.015387939661099942	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.04488149067820816
Pseudoflavonifractor	9.54072963518239	0.022901989860820184	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.06165920347143896
Blautia	7.861463174921681	0.04896331577013712	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.1224082894253428
Bacteroidales Unclassified	7.1999999999998785	0.06578905268507455	3	Kruskal-Wallis rank sum test	0	0	0	0	0.15324495625562423
Clostridium XlVa	7.05854928443322	0.07005483714542822	3	Kruskal-Wallis rank sum test	0.003	0	0.001	0.002	0.15324495625562423
Olsenella	6.89854768887027	0.0752026721581089	3	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.1548290309137536
Firmicutes Unclassified	6.677192982456099	0.0829303640987587	3	Kruskal-Wallis rank sum test	0	0	0	0	0.16125348574758636
Bacteroides	6.420536732724156	0.09284957213168431	3	Kruskal-Wallis rank sum test	0.3315	0.492	0.001	0.4215	0.17103868550573426
Unclassified	4.860676380643988	0.1822880361419063	3	Kruskal-Wallis rank sum test	0	0	0	0	0.319004063248336
Acetatifactor	4.2526491667766	0.23544328324761402	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3745688597121132
Erysipelotrichaceae Unclassified	4.2687629162633804	0.23386695210210431	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3745688597121132
Enterococcus	3.655677655677703	0.3011254128182447	3	Kruskal-Wallis rank sum test	0	0	0	0	0.4582343238538506
Anaeroplasma	3.1000000000000525	0.37646264850225725	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5270477079031601
Pseudomonas	3.1000000000000525	0.37646264850225725	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5270477079031601
Enterorhabdus	2.9642844153482244	0.39716466015800683	3	Kruskal-Wallis rank sum test	5e-4	0	0.002	0	0.5346447348280862
Alistipes	2.416666666666715	0.49053966890384815	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5920306348839547
Alloprevotella	2.416666666666715	0.49053966890384815	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5920306348839547
Clostridium sensu stricto	2.4527979495942493	0.48388197670665317	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5920306348839547
Clostridium IV	1.8773565554664537	0.598247647803421	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.6345050810036282
Lactobacillaceae Unclassified	1.92857142857119	0.5873635060522374	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6345050810036282
