otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Enterobacteriaceae (OTU 2)	25.828375051292568	1.0360005085293393e-5	3	Kruskal-Wallis rank sum test	0.056499999999999995	0	0	0.275	0.0011858854373365145
Lachnospiraceae (OTU 29)	22.97387173396674	4.089260128746601e-5	3	Kruskal-Wallis rank sum test	0	0.004	0	0	0.0011858854373365145
Lachnospiraceae (OTU 30)	24.6755110062893	1.805057486537714e-5	3	Kruskal-Wallis rank sum test	0	0.001	0.006	0	0.0011858854373365145
Lachnospiraceae (OTU 32)	25.27078757452149	1.355291993265669e-5	3	Kruskal-Wallis rank sum test	0	0	0.004	0	0.0011858854373365145
Lachnospiraceae (OTU 34)	22.97387173396674	4.089260128746601e-5	3	Kruskal-Wallis rank sum test	0	0.007	0	0	0.0011858854373365145
Ruminococcaceae (OTU 50)	23.87791437049595	2.6489746357400342e-5	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.0011858854373365145
Ruminococcaceae (OTU 92)	23.028571428571418	3.983302813257435e-5	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.0011858854373365145
Ruminococcaceae (OTU 98)	22.97387173396674	4.089260128746601e-5	3	Kruskal-Wallis rank sum test	0	0.007	0	0	0.0011858854373365145
Lachnospiraceae (OTU 46)	22.066018423746147	6.320006157231732e-5	3	Kruskal-Wallis rank sum test	0	0	0.002	0	0.0016291571427530687
Butyricicoccus (OTU 56)	21.04075657894736	1.0324420992854308e-4	3	Kruskal-Wallis rank sum test	0	0.001	0.002	0	0.0023952656703421994
Lachnospiraceae (OTU 4)	20.757549813200498	1.1821386588649173e-4	3	Kruskal-Wallis rank sum test	5e-4	0.039	0.037000000000000005	0.001	0.0024932378986969165
Lachnospiraceae (OTU 49)	20.528678304239385	1.3187565500370234e-4	3	Kruskal-Wallis rank sum test	0	0	0.0025	0	0.002549595996738245
Peptostreptococcaceae (OTU 12)	18.834513435003654	2.9580581059813175e-4	3	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.003882278883107085
Blautia (OTU 19)	19.318235050978224	2.3494809319794566e-4	3	Kruskal-Wallis rank sum test	0	0	0	0.0125	0.003882278883107085
Lachnospiraceae (OTU 31)	18.796460176991175	3.0121129265486005e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.003882278883107085
Lachnospiraceae (OTU 33)	19.112469287469303	2.5914265269960147e-4	3	Kruskal-Wallis rank sum test	0	0.005	0	0	0.003882278883107085
Acetatifactor (OTU 55)	19.112469287469303	2.5914265269960147e-4	3	Kruskal-Wallis rank sum test	0	0.009	0	0	0.003882278883107085
Ruminococcaceae (OTU 59)	18.796460176991175	3.0121129265486005e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.003882278883107085
Lachnospiraceae (OTU 11)	18.347681392627248	3.728765504287685e-4	3	Kruskal-Wallis rank sum test	0	0	0.010499999999999999	0	0.004553018931551279
Lachnospiraceae (OTU 24)	16.916976840363947	7.350785733355962e-4	3	Kruskal-Wallis rank sum test	0	0.003	0.005	0	0.005827591612468058
Bifidobacterium (OTU 28)	17.433142515379362	5.756038735645004e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.005827591612468058
Clostridiales (OTU 35)	16.66309341500767	8.28924669014853e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.005827591612468058
Ruminococcaceae (OTU 54)	16.66309341500767	8.28924669014853e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.005827591612468058
Lachnospiraceae (OTU 71)	16.67586206896553	8.239325408506602e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.005827591612468058
Lachnospiraceae (OTU 73)	16.66309341500767	8.28924669014853e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.005827591612468058
Lachnospiraceae (OTU 82)	16.978078817733966	7.141169729471286e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.005827591612468058
Lachnospiraceae (OTU 85)	16.66309341500767	8.28924669014853e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.005827591612468058
Lachnospiraceae (OTU 86)	17.232862407862434	6.329271528971214e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.005827591612468058
