otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Phenylobacterium (OTU 332)	45.00000000000004	9.252702104537081e-10	3	Kruskal-Wallis rank sum test	0	0	0	0.002	4.496813222805021e-7
Lachnospiraceae (OTU 120)	22.597402597402773	4.8987572001081866e-5	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.011903979996262894
Enterobacteriaceae (OTU 2)	17.136370122386275	6.625357373558636e-4	3	Kruskal-Wallis rank sum test	0.001	0	0.023	0.006	0.054641788757066594
Blautia (OTU 19)	16.960832313341484	7.199726326419085e-4	3	Kruskal-Wallis rank sum test	0	0	0	0.001	0.054641788757066594
Bacteroides (OTU 178)	17.891703145678512	4.63058991536947e-4	3	Kruskal-Wallis rank sum test	0	0	0.002	0	0.054641788757066594
Enterococcus (OTU 187)	16.772727272727312	7.870216487643336e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.054641788757066594
Clostridium (OTU 268)	16.772727272727312	7.870216487643336e-4	3	Kruskal-Wallis rank sum test	0	0	0	0	0.054641788757066594
Porphyromonadaceae (OTU 6)	16.284509513982574	9.914030984470288e-4	3	Kruskal-Wallis rank sum test	0.138	0.124	0	0.208	0.060227738230657
Porphyromonadaceae (OTU 8)	15.729030597785567	0.0012886510275300015	3	Kruskal-Wallis rank sum test	0.024	0.022	0	0.057	0.066217560000307
Porphyromonadaceae (OTU 10)	15.610852319232524	0.001362501234574218	3	Kruskal-Wallis rank sum test	0.043	0.025	0	0.034	0.066217560000307
Bacteroides (OTU 1)	14.955995339208965	0.001854642729205615	3	Kruskal-Wallis rank sum test	0.063	0.067	0.722	0.038	0.08194148785399354
Lactobacillus (OTU 13)	13.499722913323293	0.0036716073871370107	3	Kruskal-Wallis rank sum test	0.016	0.013	0	0.005	0.09913339945269929
Clostridiales (OTU 35)	13.744579659853041	0.003274267337558155	3	Kruskal-Wallis rank sum test	0.004	0.007	0	0.003	0.09913339945269929
Bacteroidales (OTU 38)	14.091680289698367	0.0027829793106855247	3	Kruskal-Wallis rank sum test	0.027	0.018	0	0.018	0.09913339945269929
Porphyromonadaceae (OTU 40)	13.511059296157335	0.003652199411958636	3	Kruskal-Wallis rank sum test	0.019	0.019	0	0.02	0.09913339945269929
Porphyromonadaceae (OTU 44)	13.574522056548917	0.0035454122838681247	3	Kruskal-Wallis rank sum test	0.014	0.017	0	0.016	0.09913339945269929
Porphyromonadaceae (OTU 48)	14.051480030521862	0.002835910515642869	3	Kruskal-Wallis rank sum test	0.017	0.018	0	0.023	0.09913339945269929
Porphyromonadaceae (OTU 80)	13.762749956024955	0.0032465397431582963	3	Kruskal-Wallis rank sum test	0.006	0.006	0	0.002	0.09913339945269929
Porphyromonadaceae (OTU 14)	13.219952326619795	0.004184303335308996	3	Kruskal-Wallis rank sum test	0.068	0.07	0	0.06	0.10703007478737747
