day	p.value	method	WM	WMC	C	WMR	WMC-WM	C-WM	C-WMC	WMR-WM	WMR-WMC	WMR-C
1	3.6161820983341726e-7	Kruskal-Wallis rank sum test	1400000	8000000	43300000	0	0.15470522652207486	1.341339835087151e-4	0.0388235294117647	3.9130601487539737e-4	0.00553886351127948	1.0812020147886209e-4
2	3.0516928026038825e-5	Kruskal-Wallis rank sum test	37250000	41200000	29200000	0	0.36617647058823527	0.7203141841531935	0.7203141841531935	1.080230329893827e-4	0.011601332493176832	1.080230329893827e-4
3	2.3559479414016125e-7	Kruskal-Wallis rank sum test	9000000	59999999.99999999	9200000	0	8.600686896554014e-4	0.6429103914338625	0.003571104931965315	3.99282059689616e-5	2.8515901029190394e-4	6.245649369283082e-5
4	1.4152273476934042e-8	Kruskal-Wallis rank sum test	7600000	29900000	681250	0	0.010671104639068023	1.1982020977523225e-6	1.1982020977523225e-6	1.0682125271734207e-4	2.4225147266458073e-4	0.11067769851442523
5	3.3167500791112307e-7	Kruskal-Wallis rank sum test	14400000	29400000	8266.666666666666	0	0.29205098307265487	4.716271751128729e-5	1.9328404552362304e-4	6.779580025438781e-4	6.779580025438781e-4	0.29205098307265487
6	5.423869747475769e-7	Kruskal-Wallis rank sum test	8200000	38500000	10266.66666666667	3400	0.3504611796871858	6.409886609105884e-7	4.588896095155349e-6	0.0010227913698212085	6.784780957859392e-4	0.6550357168175659
8	0.0018892167119128021	Kruskal-Wallis rank sum test	2693333.33333333	NA	0	244900	NA	0.01099364277011562	NA	0.015348194609732763	NA	0.06393908930754386
9	0.001211597319523387	Kruskal-Wallis rank sum test	5553333.333333335	NA	0	759500	NA	0.008335290330297097	NA	0.015348194609732763	NA	0.029174591095228488
10	0.0016726250576863332	Kruskal-Wallis rank sum test	3550000	NA	0	555000	NA	0.008335290330297097	NA	0.05749367813587518	NA	0.009714479231534292
15	0.0019069681313660647	Kruskal-Wallis rank sum test	3273333.333333333	NA	0	835000	NA	0.008335290330297097	NA	0.07329431101862084	NA	0.009714479231534292
20	0.0012614181536135798	Kruskal-Wallis rank sum test	5113333.333333335	NA	0	955000	NA	0.008335290330297097	NA	0.03429135699015667	NA	0.009714479231534292
25	0.0096445811481739	Kruskal-Wallis rank sum test	7313333.333333335	NA	0	1460000	NA	0.008335290330297097	NA	0.3358869832793478	NA	0.14131483025081054
30	0.008085294724802282	Kruskal-Wallis rank sum test	3790000	NA	0	2769266.6666666665	NA	0.008335290330297097	NA	0.7619047619047619	NA	0.03865622926235204
