genus	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Clostridiales Unclassified	12.915717539863326	0.0015681498877712565	2	Kruskal-Wallis rank sum test	0	0.0025	0	0.035259242101013444
Enterobacteriaceae Unclassified	12.171735241502683	0.0022747898129686092	2	Kruskal-Wallis rank sum test	0.3665	0.0045000000000000005	0.072	0.035259242101013444
Porphyromonadaceae Unclassified	11.347721822541965	0.003434579039193128	2	Kruskal-Wallis rank sum test	0.0015	0.4445	0.325	0.03549065007166233
Bifidobacterium	10.08872901678657	0.006445555158812923	2	Kruskal-Wallis rank sum test	0.017	0.0045000000000000005	0	0.049953052480800154
Lactobacillus	9.551558752997595	0.00843151020511636	2	Kruskal-Wallis rank sum test	0.096	0.0245	0.017	0.05227536327172143
Peptostreptococcaceae Unclassified	8.20794537554313	0.016506967940881325	2	Kruskal-Wallis rank sum test	0.005	0	0.002	0.08528600102788685
Bacteroides	7.872391174716757	0.01952234470047853	2	Kruskal-Wallis rank sum test	0.002	0.3365	0.48	0.08645609795926207
Erysipelotrichaceae Unclassified	6.204440026507618	0.044949303496637144	2	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0.15482537871063906
Ruminococcaceae Unclassified	6.427798982188288	0.040199549451498125	2	Kruskal-Wallis rank sum test	0.019500000000000003	5e-4	0	0.15482537871063906
Blautia	5.192307692307692	0.07455979588862262	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.21212344194711638
Clostridium IV	5.173357664233576	0.07526960843284775	2	Kruskal-Wallis rank sum test	0.001	0	0	0.21212344194711638
Akkermansia	4.940071556350625	0.08458183276378753	2	Kruskal-Wallis rank sum test	0.028999999999999998	0.099	0.002	0.2185030679731178
Coriobacteriaceae Unclassified	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.29967098430964245
Prevotella	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.29967098430964245
Alistipes	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.310712284193439
Bacteroidales Unclassified	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.310712284193439
Clostridium XlVb	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.310712284193439
Dorea	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.310712284193439
Enterorhabdus	3.7083333333333357	0.15658337446621523	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.310712284193439
Lachnospiraceae Unclassified	3.2250000000000014	0.199388519168535	2	Kruskal-Wallis rank sum test	0.07500000000000001	0.052	0.024	0.310712284193439
Olsenella	3.0277777777777835	0.22005255189859063	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.32483948137411
Butyricicoccus	1.4829059829059896	0.47642117647351	2	Kruskal-Wallis rank sum test	0	0	0	0.509277809333752
Clostridia Unclassified	1.5	0.4723665527410147	2	Kruskal-Wallis rank sum test	0	0	0	0.509277809333752
Desulfovibrio	1.5	0.4723665527410147	2	Kruskal-Wallis rank sum test	0	0	0	0.509277809333752
Firmicutes Unclassified	1.5	0.4723665527410147	2	Kruskal-Wallis rank sum test	0	0	0	0.509277809333752
Lactobacillaceae Unclassified	1.5	0.4723665527410147	2	Kruskal-Wallis rank sum test	0	0	0	0.509277809333752
Oscillibacter	1.5	0.4723665527410147	2	Kruskal-Wallis rank sum test	0	0	0	0.509277809333752
Pseudoflavonifractor	1.6367521367521347	0.44114746645545444	2	Kruskal-Wallis rank sum test	0	0	0	0.509277809333752
